6.714108550774067e-02,1.451174479481254e-04,1.080315249802481e-05
6.848390721789549e-02,1.354765869355778e-04,1.018567517353781e-05
6.985358536225340e-02,1.097003411317486e-04,8.889903978800050e-06
7.125065706949847e-02,1.214548796137079e-04,9.101861654352949e-06
7.267567021088844e-02,1.025412327058052e-04,8.109633366832549e-06
7.412918361510622e-02,1.115351976168884e-04,8.286895118896199e-06
7.561176728740834e-02,1.013672632539516e-04,7.706407544588099e-06
7.712400263315651e-02,1.024176115365111e-04,7.581867675554173e-06
7.866648268581963e-02,7.972378026403201e-05,6.478533490693708e-06
8.023981233953603e-02,7.819451957105396e-05,6.289105949524146e-06
8.184460858632675e-02,7.549178241561130e-05,6.021852359870224e-06
8.348150075805329e-02,6.601645791329604e-05,5.487599358077051e-06
8.515113077321436e-02,7.197007108511025e-05,5.678562090469747e-06
8.685415338867865e-02,6.664646233758175e-05,5.300226860439094e-06
8.859123645645223e-02,6.235733565725035e-05,5.027724832269452e-06
9.036306118558127e-02,5.623525097399128e-05,4.668489406459723e-06
9.217032240929290e-02,5.254618102877408e-05,4.425799630277658e-06
9.401372885747876e-02,4.923148192170650e-05,4.198004915312360e-06
9.589400343462834e-02,5.603561565583275e-05,4.430003555697117e-06
9.781188350332090e-02,4.757796405705593e-05,4.008690752544551e-06
9.976812117338732e-02,4.242653631589858e-05,3.731405119060801e-06
1.017634835968551e-01,4.358844567678359e-05,3.745066129752342e-06
1.037987532687922e-01,4.475213305134764e-05,3.742587752922293e-06
1.058747283341680e-01,3.622137973561455e-05,3.306477182814648e-06
1.079922229008514e-01,3.690576649340023e-05,3.373542522252330e-06
1.101520673588684e-01,3.420031338995734e-05,3.192555373333407e-06
1.123551087060458e-01,3.416751443829506e-05,3.152023628468316e-06
1.146022108801667e-01,3.179369684440939e-05,3.031156358877096e-06
1.168942550977700e-01,3.483275789512141e-05,3.296780384588882e-06
1.192321401997254e-01,3.010922054034644e-05,2.998812227234753e-06
1.216167830037199e-01,3.747896811421900e-05,3.347811935212292e-06
1.240491186637943e-01,2.688059422365428e-05,2.807381556190956e-06
1.265301010370702e-01,2.671898620034375e-05,2.813054556200771e-06
1.290607030578116e-01,2.480724543610460e-05,2.644832076023098e-06
1.316419171189679e-01,1.993330612676197e-05,2.346020390154685e-06
1.342747554613472e-01,2.455696009271661e-05,2.597181475126580e-06
1.369602505705741e-01,2.366094504452882e-05,2.490347182944395e-06
1.396994555819857e-01,2.506701398360432e-05,2.499282454786361e-06
1.424934446936253e-01,1.649670961383189e-05,1.976154897641710e-06
1.453433135874979e-01,2.060912782557229e-05,2.189187153307721e-06
1.482501798592478e-01,1.908216471933587e-05,2.076919818888053e-06
1.512151834564328e-01,2.074820342355661e-05,2.145941686625529e-06
1.542394871255615e-01,1.878696741706601e-05,2.012088058070236e-06
1.573242768680727e-01,1.840999314553052e-05,1.971728314045886e-06
1.604707624054341e-01,1.449593940626641e-05,1.728241395386554e-06
1.636801776535428e-01,1.271124400810800e-05,1.604462012190096e-06
1.669537812066136e-01,1.800416677337779e-05,1.911380354525042e-06
1.702928568307459e-01,1.525523862495918e-05,1.740776576589361e-06
1.736987139673608e-01,1.518133063228767e-05,1.736196350581884e-06
1.771726882467081e-01,1.533865216282752e-05,1.767492719303909e-06
1.807161420116422e-01,1.405298169216515e-05,1.684953363027603e-06
1.843304648518750e-01,1.320928272097599e-05,1.618794813571766e-06
1.880170741489126e-01,1.302180807787214e-05,1.605897902658812e-06
1.917774156318908e-01,9.304054108976463e-06,1.358312039674991e-06
1.956129639445286e-01,1.044082027978710e-05,1.451091892473782e-06
1.995252232234192e-01,1.110489399278020e-05,1.517507456757456e-06
2.035157276878876e-01,1.087653231036811e-05,1.530079519214349e-06
2.075860422416453e-01,8.630359220912477e-06,1.405469393774118e-06
2.117377630864782e-01,6.318036527608833e-06,1.266943506185831e-06
2.159725183482078e-01,1.037399708551900e-05,1.669944923359077e-06
2.202919687151720e-01,8.527450515412854e-06,1.564307391344626e-06
2.246978080894754e-01,9.888305604503513e-06,1.746152936687306e-06
2.291917642512649e-01,6.126667663706760e-06,1.439842083077516e-06
2.337755995362902e-01,6.952994225806739e-06,1.617667424480000e-06
2.384511115270160e-01,1.032478600291161e-05,2.092010470335637e-06
2.433132540605561e-01,8.368084272497928e-06,1.917905669099883e-06
